month,day,status,note,category,value,reason
3,1,AGCG,,DIUMENGE,-0.64,DIUMENGE
3,2,AGCG,,FEINER,-0.64,FEINER
3,3,AGCG,,FEINER,-0.64,FEINER
3,4,AGCG,,FEINER,-0.64,FEINER
3,5,AGCG,,FEINER,-0.64,FEINER
3,6,DCOM,,DIVENDRES,0,Descanso · DCOM
3,7,DCOM,,DISSABTE,0,Descanso · DCOM
3,8,FEST,,DIUMENGE,0,Fiesta del ciclo · FEST
3,9,AGCG,,FEINER,-0.64,FEINER
3,10,AGCG,,FEINER,-0.64,FEINER
3,11,AGCG,,FEINER,-0.64,FEINER
3,12,AGCG,,FEINER,-0.64,FEINER
3,13,AGCG,,DIVENDRES,1.36,DIVENDRES
3,14,AGCG,,DISSABTE,1.79,DISSABTE
3,15,AGCG,,DIUMENGE,-0.64,DIUMENGE
3,16,VACACIONES_PENDIENTES,Cambio visible respecto al ciclo de 28 días: se esperaba DCOM,FEINER,0,Vacaciones · indicar año
3,17,VACACIONES_PENDIENTES,Cambio visible respecto al ciclo de 28 días: se esperaba FEST,FEINER,0,Vacaciones · indicar año
3,18,VACACIONES_PENDIENTES,,FEINER,0,Vacaciones · indicar año
3,19,AGCG,,FEINER,-0.64,FEINER
3,20,AGCG,,DIVENDRES,1.36,DIVENDRES
3,21,DCOM,,DISSABTE,0,Descanso · DCOM
3,22,FEST,,DIUMENGE,0,Fiesta del ciclo · FEST
3,23,REVISAR,Lectura indeterminada; el ciclo de 28 días sugiere AGCG,FEINER,0,Revisar
3,24,REVISAR,Lectura indeterminada; el ciclo de 28 días sugiere AGCG,FEINER,0,Revisar
3,25,DCOM,,FEINER,0,Descanso · DCOM
3,26,FEST,,FEINER,0,Fiesta del ciclo · FEST
3,27,AGCG,,DIVENDRES,1.36,DIVENDRES
3,28,AGCG,,DISSABTE_CANVI_HORA,1.79,DISSABTE CANVI HORA
3,29,AGCG,,DIUMENGE_CANVI_HORA,-0.64,DIUMENGE CANVI HORA
3,30,AGCG,,FEINER_NO_LECTIU,-0.64,FEINER NO LECTIU
3,31,AGCG,,FEINER_NO_LECTIU,-0.64,FEINER NO LECTIU
7,1,AGCG,,FEINER,-0.64,FEINER
7,2,AGCG,,FEINER,-0.64,FEINER
7,3,AGCG,,DIVENDRES,1.36,DIVENDRES
7,4,AGCG,,DISSABTE,1.79,DISSABTE
7,5,AGCG,,DIUMENGE,-0.64,DIUMENGE
7,6,DCOM,,FEINER,0,Descanso · DCOM
7,7,FEST,,FEINER,0,Fiesta del ciclo · FEST
7,8,AGCG,,FEINER,-0.64,FEINER
7,9,AGCG,,FEINER,-0.64,FEINER
7,10,AGCG,,DIVENDRES,1.36,DIVENDRES
7,11,DCOM,,DISSABTE,0,Descanso · DCOM
7,12,FEST,,DIUMENGE,0,Fiesta del ciclo · FEST
7,13,AGCG,,FEINER,-0.64,FEINER
7,14,AGCG,,FEINER,-0.64,FEINER
7,15,DCOM,,FEINER,0,Descanso · DCOM
7,16,FEST,,FEINER,0,Fiesta del ciclo · FEST
7,17,AGCG,,DIVENDRES,1.36,DIVENDRES
7,18,AGCG,,DISSABTE,1.79,DISSABTE
7,19,AGCG,,DIUMENGE,-0.64,DIUMENGE
7,20,REVISAR,Lectura indeterminada; el ciclo de 28 días sugiere AGCG,FEINER,0,Revisar
7,21,AGCG,,FEINER,-0.64,FEINER
7,22,AGCG,,FEINER,-0.64,FEINER
7,23,AGCG,,FEINER,-0.64,FEINER
7,24,DCOM,,DIVENDRES,0,Descanso · DCOM
7,25,DCOM,,DISSABTE,0,Descanso · DCOM
7,26,FEST,,DIUMENGE,0,Fiesta del ciclo · FEST
7,27,AGCG,,FEINER,-0.64,FEINER
7,28,AGCG,,FEINER,-0.64,FEINER
7,29,AGCG,,FEINER,-0.64,FEINER
7,30,AGCG,,FEINER,-0.64,FEINER
7,31,AGCG,,DIVENDRES,1.36,DIVENDRES
